adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3284385314,17069999616,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3235054215,52812000256,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3228665212,37728000000,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3229298794,26353999872,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3229351587,619765981184,\N,204,0,6,0,0,0,0,0,0,14,0,0,0,0
3284385121,10435000320,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3235060014,98980003840,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3228671052,12074999936,0,204,0,6,0,0,0,0,5,0,0,0,0,5,0
3229325539,82616000512,\N,204,0,6,73594,73594,1,73594,0,1,0,0,0,0,1
3284424339,2732000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3229351587,106840000512,250000,204,0,6,4039,4039,1,4039,4,1,0,0,0,0,1
3229351587,4624999936,0,204,0,6,0,0,0,0,2,0,0,0,0,0,0
3284385121,2220999936,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3235047668,9866000384,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3274225017,43064000512,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3274201513,24263551018496,0,204,0,6,0,0,0,0,861,0,0,0,0,861,0
3274203313,165541003264,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3274201513,1079227988480,47619,204,0,6,454,454,1,454,21,1,0,0,0,21,1
3274201513,362335997952,\N,204,0,6,63285,0,0,0,0,4,0,0,1,0,0
3274227159,123633000448,0,204,0,6,0,0,0,0,8,0,0,0,1,0,0
3274203313,11608000512,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3274225017,63056998400,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3274227159,10917000192,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3274201513,265473998848,0,204,0,6,0,0,0,0,5,0,0,0,1,0,0
3274225017,7603268927488,\N,204,0,6,2172,0,0,0,0,15,0,0,1,0,0
3274225017,1332669972480,\N,204,0,6,0,0,0,0,0,0,5,0,0,0,0
3274203313,14057017007360,0,204,0,6,0,0,0,0,445,0,0,0,0,445,0
3274227159,14005000192,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3274225017,54222999552,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3274227159,264224004096,\N,204,0,6,0,0,0,0,0,0,7,0,0,0,0
3339005455,466495995904,\N,204,0,6,175,175,1,175,0,1,0,0,0,0,1
3338928286,5345312047104,\N,204,0,6,0,0,0,0,0,0,8,0,0,0,0
3408600609,155724005376,\N,204,0,6,0,0,0,0,0,0,4,0,0,0,0
3450095732,70340999168,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3322733969,108312002560,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3303909568,1726000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3404539531,51034001408,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3450621606,76093999104,0,204,0,6,0,0,0,0,5,0,0,0,0,5,0
3450084549,27646000128,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3318003491,34899000320,0,204,0,6,0,0,0,0,9,0,0,0,1,0,0
3315715829,19930000384,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3450602033,28733000192,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3450123484,3752999936,0,204,0,6,0,0,0,0,1,0,0,0,1,0,0
3450118173,15902999552,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3315476468,973344014336,\N,204,0,6,0,0,0,0,0,0,1,0,1,0,0
3391794655,409113985024,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3450602033,52394999808,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3450081242,77302998016,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3450001416,186092997632,0,204,0,6,0,0,0,0,12,0,0,0,0,12,0
3348881457,144980000768,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3338965888,68843003904,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3450129055,42304999424,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3338950904,485010014208,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3450003953,438946013184,0,204,0,6,0,0,0,0,3,0,0,0,0,3,0
3338928286,75922997248,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
