process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,40504400147134,阅文系,0,104,0,398621,5535,47,0,6034026466891200,265494774,0,6886.771630000002,1286.72,0.0
20210605,70006563700470,TME,0,104,0,81827,4694,34,0,4634142902986752,102411064,27322,1996.5714199999975,553.1,0.0
20210605,40807403425677,应用宝,0,104,0,38296,2326,0,0,2066986738991744,554269579,0,7727.000229999996,0.0,0.0
20210605,10600415585766,IEG,0,104,0,131565,657,37,0,773129548166720,114338313,31994,3055.4273900000007,941.0,0.0
20210605,10907511528330,TME,0,104,0,16414,534,3,0,515813422271872,3693034,5694,180.11997999999997,88.6,0.0
20210605,40707432255536,IEG,0,104,0,21880,200,0,0,237112892014272,6932095,0,315.76964,0.0,0.0
20210605,30602476557982,CSIG,1,104,0,0,0,1516,0,0,0,0,0.0,14981.28,0.0
20210605,30605462917931,IEG,1,104,0,0,0,4,0,0,0,0,0.0,34.46,0.0
20210605,60402262989318,CSIG,0,104,0,1316290,65840,0,0,71681140691419776,2595267782,392930,54928.63394999999,0.0,0.0
20210605,70006491319394,QQ系,0,104,0,16722,51,0,0,75968616013184,741396,0,31.715969999999984,0.0,0.0
20210605,90301475842282,TME,1,104,0,0,0,16,0,0,0,0,0.0,223.51999999999998,0.0
20210605,90505451424076,IEG,0,104,0,8820,62,2,0,62448707003520,6725767,0,163.08999999999997,26.0,0.0
20210605,50904485673781,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,70405412545955,IEG,1,104,0,0,0,35,0,0,0,0,0.0,1783.03,0.0
20210605,30206388181212,IEG,1,104,0,0,0,1,0,0,0,0,0.0,65.04,0.0
20210605,50901413830594,IEG,0,104,0,4660,24,1,0,42783440009472,5543802,0,140.55999999999997,25.28,0.0
20210605,80605561822013,IEG,0,104,0,107,2,0,0,3462026991424,424,0,0.64,0.0,0.0
20210605,30005422732564,其他,1,104,0,0,0,3,0,0,0,0,0.0,264.0,0.0
20210605,90704445965875,未分组1,1,104,0,0,0,10,0,0,0,0,0.0,102.53,0.0
20210605,30206388181212,IEG,0,104,0,656,5,3,0,3895471997696,750813,0,56.330000000000005,707.9,0.0
20210605,60807476850604,TKD,0,104,0,9285030,108256,1,0,114925728999028096,19183743114,14038,366396.98559000005,22.56,0.0
20210605,50206368215858,IEG,1,104,0,0,0,9,0,0,0,0,0.0,431.56,0.0
20210605,40604491829077,IEG,0,104,0,7077,32,6,0,50116214002240,4004757,36720,566.73,115.99,0.0
20210605,10506450549984,IEG,0,104,0,51947,416,7,0,435195456020928,18154823,0,668.46777,180.51999999999998,0.0
20210605,50104416453989,未分组1,0,104,0,1060,30,0,0,22095595003904,3559658,0,110.11000000000007,0.0,0.0
20210605,50308424081820,TME,1,104,0,0,0,939,0,0,0,0,0.0,13914.87,0.0
20210605,50002495342288,TME,0,104,0,16490,518,0,0,425744564220096,8540081,0,190.56833000000006,0.0,0.0
